ensembl_gene_ids,baseMean,log2FoldChange,lfcSE,pvalue,padj,mgi_symbols,gene_symbols,ENTREZ_IDs
ENSMUSG00000029454,1513.7089853310715,0.13599467654499683,0.0750793513706615,0.06821658052300729,0.14539694110271656,MGI:MGI:1333110,Mapkapk5,17165
ENSMUSG00000082265,12.580684646139122,0.35013461332748635,0.5280909636739968,0.27437198334723983,0.4383868865143489,NA,NA,NA
ENSMUSG00000029455,211.00822101972125,1.1383094226961745,0.2022180461837001,3.3606081599257387e-9,2.6063089268295458e-8,MGI:MGI:99600,Aldh2,11669
ENSMUSG00000042647,18.630696268937562,-0.06509929533289766,0.4151445508446954,0.827230097847538,0.9033452767668918,MGI:MGI:2443320,Acad12,338350
ENSMUSG00000029456,104.84529904794368,-0.7450299697254318,0.24721618732798678,0.0010384744084983848,0.003701470202707653,MGI:MGI:1919235,Acad10,71985
ENSMUSG00000029458,3289.287122576103,0.07563442948544444,0.059790829294996746,0.20447438615371302,0.3516230164658172,MGI:MGI:1919649,Brap,72399
ENSMUSG00000042605,1035.724610804393,-0.2550600750094139,0.09161366369308933,0.004583969850346865,0.014138691975782807,MGI:MGI:1277223,Atxn2,20239
ENSMUSG00000042594,1530.1568859044971,-0.3379943902161832,0.0834019877767014,4.108010170380152e-5,1.9045740667016138e-4,MGI:MGI:893598,Sh2b3,16923
ENSMUSG00000099063,0.3433790350900971,-0.0011167435206775747,0.5999668965653366,0.9751395073574053,NA,MGI:MGI:5531241,Mir7031,102465624
ENSMUSG00000044134,89.56675843423122,-0.16980635491811896,0.24448624800755558,0.44561514745923325,0.6205613015694437,MGI:MGI:2442708,Pheta1,231717
ENSMUSG00000013936,0.15795740454300544,-0.024255882438582198,0.6014444058223389,0.8537610393113703,NA,MGI:MGI:97272,Myl2,17906
ENSMUSG00000043036,16.636032034058534,-0.6289872357367084,0.5635357492490439,0.0859584625120646,0.17564555936402573,MGI:MGI:3607777,Ccdc63,330188
ENSMUSG00000004455,2545.6219734108054,-0.15076202987928208,0.06881544542774516,0.02830873681897168,0.06915882528090794,MGI:MGI:104872,Ppp1cc,19047
ENSMUSG00000064267,2605.937589506215,-0.82295513503055,0.06351350801536362,8.397547947088597e-39,2.663329652127616e-37,MGI:MGI:1921346,Hvcn1,74096
ENSMUSG00000038593,135.29042166250136,-0.16431048017495845,0.20655660164550155,0.39504054840402203,0.5706105493445418,MGI:MGI:3603820,Tctn1,654470
ENSMUSG00000038582,1703.6923652337273,-0.630913413236777,0.07289459831285151,2.6179633702879276e-18,3.8646022141411046e-17,MGI:MGI:2444593,Pptc7,320717
ENSMUSG00000083909,15.722998061720896,-0.3504617269521157,0.5120014241714471,0.26655754843585316,0.428994079177491,NA,NA,NA
ENSMUSG00000038569,98.44383204150287,-0.8867915653205558,0.26097558043029123,2.0267318633915477e-4,8.311804118914816e-4,MGI:MGI:2385231,Rad9b,231724
ENSMUSG00000029462,1278.8393361283674,0.30914447488071856,0.0822332335925283,1.4644283604857517e-4,6.194905846588377e-4,MGI:MGI:1928344,Vps29,56433
ENSMUSG00000029463,280.3399355301425,-0.2562480973286326,0.14995693003685442,0.07678304771870993,0.16013253182037507,MGI:MGI:1916198,Fam216a,68948
ENSMUSG00000029464,996.5607611741073,-0.19239100279723056,0.09046498695797525,0.031134353983173303,0.07487533393484529,MGI:MGI:1289326,Gpn3,68080
ENSMUSG00000029465,8873.674384131267,0.1431831524028978,0.04687085514283489,0.002192211253079206,0.007249713356806798,MGI:MGI:1928375,Arpc3,56378
ENSMUSG00000029466,1135.6068858253423,0.1941533464025159,0.08266132375628193,0.01798281349677353,0.04656306418640249,MGI:MGI:1929711,Anapc7,56317
ENSMUSG00000079906,0.16485600460543468,-0.024266950672254775,0.6014427073255282,0.8537688666730124,NA,NA,NA,NA
ENSMUSG00000029467,4881.276581287024,-0.0784782480224579,0.05255156762963855,0.13292984538915376,0.2502615725713398,MGI:MGI:88110,Atp2a2,11938
ENSMUSG00000088583,0.3121963251888404,6.903156703877496e-4,0.598677132491009,0.9739931066757838,NA,MGI:MGI:5452742,Gm22965,115490256
ENSMUSG00000029469,42.846462419366446,-3.1506703794024227,0.46922440821563466,1.6862427345532786e-12,1.737094563677808e-11,MGI:MGI:1098597,Ift81,12589
ENSMUSG00000029468,1006.3417984620634,-3.7506927033711226,0.11479301471805581,2.0657005480136362e-235,6.003738527169469e-233,MGI:MGI:1339957,P2rx7,18439
